,Neighborhood,Area Code,Geo Name,Borough,Total Population,Population Previous Census,Population Change,Area in km,Population Density,Green Space Area in km,Green Space to Total Area in km,Walk Score,Healthy Food Index,In Labor Force,Average Income,Low Income Population,Unemployed,Debt Risk Score,Home Prices,Affordability,High Shelter Costs,Owned Dwellings,Rented Dwellings,Own to Rent Ratio,Commute  15 or less,Commute  15 to 29,Commute  30 to 44,Commute  45 to 59,Commute  60 or more,Tenant Average Rent,Population Over 25,Bachelor or Higher,Associates or Diploma,Less than 9th Grade,Drug Arrests,Assaults,Sexual Assaults,Break and Enter,Robberies,Vehicle Thefts,Thefts,Murders,Arsons,Longitude,Latitude,Housing Affordability,Unemployment Rate,Reported Crimes
54,Humber Summit,21,M9L,North York,12416,12530,-0.9,7.9,1571.6455696202531,0.69,0.08734177215189873,61,32.33,5755,65757,3330,555,715,354381,,1235,2745,1045,2.626794258373206,675,1520,1260,495,1085,907,8585,1450,3770,3745,12,91,8,39,19,61,18,0,3,-79.5659633,43.7563033,5.389251334458689,9.643788010425716,251
55,Humbermede,22,M9M,North York,15545,15850,-1.9,4.4,3532.954545454545,0.92,0.20909090909090908,58,20.52,7640,59697,4030,780,695,314721,,1895,2660,2455,1.0835030549898168,710,1985,1840,785,1380,966,10440,1955,5115,3475,19,94,9,23,22,44,1,1,0,-79.5423671192,43.7434295175,5.271973466003317,10.209424083769633,213
56,Humewood-Cedarvale,106,M6C,York,14365,14110,1.8,1.9,7560.526315789474,0.22,0.11578947368421053,80,32.85,8890,105770,1820,630,747,800442,,2340,2370,4205,0.5636147443519619,665,2010,2905,1060,800,974,10725,6060,8720,1285,4,47,4,26,7,17,5,0,0,-79.4276833521,43.6913698124,7.567760234471022,7.086614173228346,110
57,Ionview,125,M1K,Scarborough,13641,13095,4.2,2.0,6820.5,0.13,0.065,70,47.14,6905,57069,3350,610,712,330109,,1725,1985,3085,0.6434359805510534,800,1235,1540,1170,1345,863,9745,2600,5655,2430,13,82,10,17,8,5,4,0,0,-79.27247049420001,43.735364407700004,5.784383816082286,8.834178131788558,139
58,Islington-City Centre West,14,M9B,Etobicoke,43965,38070,15.4,16.4,2680.7926829268295,0.51,0.03109756097560976,72,31.01,25665,87747,11590,1870,755,491678,,6380,9955,6290,1.582670906200318,2695,5935,5795,4265,3360,1072,34030,15135,24535,4080,30,186,27,104,33,134,37,0,4,-79.5433165354,43.6334633497,5.603359659019682,7.286187414767192,555
59,Junction Area,90,M6N,West Toronto,14366,14015,2.4,2.6,5525.384615384615,0.1,0.038461538461538464,83,44.09,8890,78000,2190,500,733,532997,,1960,3395,2355,1.4416135881104033,765,1510,2600,1700,1010,1025,10785,5110,7790,1905,14,95,10,31,13,22,3,0,2,-79.47143987359999,43.6678897668,6.833294871794871,5.62429696287964,190
60,Keelesdale-Eglinton West,110,M6M,York,11058,10640,3.9,1.7,6504.705882352941,0.14,0.0823529411764706,69,34.48,5645,64857,1970,485,707,373029,,1510,2510,1470,1.7074829931972788,395,1075,1590,815,1100,796,8075,1105,3115,3425,9,49,5,14,23,17,0,0,0,-79.4714371062,43.6857274725,5.751561126786623,8.591674047829938,117
61,Kennedy Park,124,M1K,Scarborough,17123,17050,0.4,3.6,4756.388888888889,0.12,0.03333333333333333,62,34.96,8510,58513,4810,775,729,293600,,2330,3670,2870,1.278745644599303,780,1365,2010,1595,1675,742,12300,3025,6925,3100,18,183,11,45,27,11,4,0,1,-79.2603822071,43.725555723199996,5.0176883769418765,9.106933019976498,300
62,Kensington-Chinatown,78,M5T,Downtown Toronto,17945,18500,-3.0,1.5,11963.333333333334,0.07,0.04666666666666667,97,37.57,10105,64945,6070,825,728,477989,,4190,2655,5975,0.44435146443514645,2075,3165,1810,610,740,1004,13425,6395,9095,3405,105,273,34,80,53,26,16,5,5,-79.3972398768,43.653554131599996,7.359904534606205,8.164275111331024,597
63,Kingsview Village-The Westway,6,M9P,Etobicoke,22000,21725,1.3,5.1,4313.725490196079,0.31,0.0607843137254902,56,35.69,10265,68145,6760,1020,717,292861,,2730,3975,3675,1.0816326530612246,1225,2815,2155,970,1675,1052,14970,3720,8075,4395,12,110,6,34,22,42,5,2,2,-79.5478633059,43.698992572200005,4.297615378971311,9.936678032148077,235
64,Kingsway South,15,M8X,Etobicoke,9271,9175,1.1,2.6,3565.7692307692305,0.3,0.11538461538461538,68,43.15,4790,191204,470,360,793,941223,,685,2965,535,5.542056074766355,415,860,1390,730,320,1640,6765,4440,5735,665,10,24,2,27,8,9,1,0,1,-79.5105768007,43.6535204276,4.922611451643271,7.515657620041753,82
65,L'Amoreaux,117,M6S,Scarborough,43993,44915,0.8,7.1,6196.197183098592,0.6,0.08450704225352113,65,30.73,21145,64493,12450,2300,758,355438,,5700,10125,4790,2.113778705636743,285,770,1215,745,455,919,32575,9780,18765,8430,15,136,8,48,31,28,5,2,3,-79.4960452553,43.6574201304,5.511264788426651,10.877275951761646,276
66,Lambton Baby Point,114,M1W,York,7985,7920,-2.1,1.7,4697.058823529412,0.44,0.25882352941176473,70,27.28,4200,122277,1390,320,749,806452,,725,1920,1240,1.5483870967741935,1850,4815,4660,2325,4055,814,5445,2950,4210,945,5,21,2,8,2,1,1,0,0,-79.3140842409,43.7957160278,6.5952877483091665,7.6190476190476195,40
67,Lansing-Westgate,38,M2N,North York,16164,14640,10.4,5.4,2993.333333333333,0.98,0.18148148148148147,77,19.11,9195,105947,12430,665,758,646460,,2535,3525,2460,1.4329268292682926,1000,1835,2410,1410,930,1332,11800,7355,9850,895,8,63,7,42,8,27,7,0,2,-79.4247477215,43.754271154899996,6.101730110338188,7.232191408374117,164
