Neighborhood,Athletics & Sports,Bank,Bar/Club,Cafe,Coffee Shop,Convenience Store,Entertainment,Event Hall,Fast Food,Gas Station,Grocery,Gym,Hotel,Liquor Store,Medical,Moving Target,Museum,Museum ,Office,Outdoor,Park,Professional Services,Residential,Restaurant,Retail,Salon,Transportation,University
The Beaches,1,1,5,4,5,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,2,0,0,9,5,1,0,0
Thistletown-Beaumond Heights,0,1,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0
Thorncliffe Park,0,1,0,0,1,0,0,0,3,0,2,2,0,0,1,0,0,0,0,0,0,0,0,4,1,0,1,0
Trinity-Bellwoods,1,0,7,2,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,1,0,0,0
University ,0,0,4,8,2,1,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,7,2,0,0,1
Victoria Village,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0
Waterfront Communities-The Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
West Hill,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
West Humber-Clairville,0,1,0,0,1,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0
Westminster-Branson,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
Weston,0,0,0,0,2,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,0
Weston-Pellam Park,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,4,2,0,0,0
Wexford/Maryvale ,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
Willowdale East ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willowdale West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Woburn ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Woodbine Corridor,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Woodbine-Lumsden,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,1,0,0
Wychwood,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Yonge-Eglinton,2,1,0,2,4,0,0,0,4,0,1,3,0,0,0,0,0,0,0,0,1,0,0,5,3,0,1,0
Yonge-St.Clair,0,1,3,5,7,0,0,0,5,0,3,2,0,0,2,0,0,0,0,0,0,0,0,15,1,0,0,0
York University Heights,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0
Yorkdale-Glen Park ,2,1,0,1,1,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0
